<start> <duration> <pitch> <velocity> <instrument>
61333 444 33 110 545
61333 163 57 110 284
61499 164 61 110 284
61499 164 36 110 2337
61666 163 59 110 284
61666 163 36 110 2337
61666 163 59 110 2337
61833 444 33 110 545
61833 163 40 110 2337
61833 163 61 110 284
61999 164 36 110 2337
61999 164 64 110 284
61999 164 59 110 2337
62166 163 61 110 284
62166 163 36 110 2337
62333 163 40 110 2337
62333 278 33 110 545
62333 163 59 110 2337
62333 163 59 110 284
62499 164 61 110 284
62499 164 36 110 2337
62666 163 40 110 2337
62666 445 33 110 545
62666 163 59 110 2337
62666 163 57 110 284
62833 163 61 110 284
62833 163 36 110 2337
62999 164 59 110 284
62999 164 36 110 2337
62999 164 59 110 2337
63166 445 33 110 545
63166 163 40 110 2337
63166 163 61 110 284
63333 163 36 110 2337
63333 163 64 110 284
63333 163 59 110 2337
63499 164 61 110 284
63499 164 36 110 2337
63666 163 40 110 2337
63666 278 33 110 545
63666 163 59 110 2337
63666 163 59 110 284
63833 163 61 110 284
63833 80 40 110 2337
63916 80 40 110 2337
63999 164 40 110 2337
63999 164 72 110 29
63999 164 57 110 2337
63999 445 29 110 545
63999 164 57 110 284
64166 163 36 110 2337
64166 163 71 110 29
64166 163 60 110 284
64333 163 36 110 2337
64333 163 72 110 29
64333 163 59 110 2337
64333 163 59 110 284
64499 164 40 110 2337
64499 330 71 110 29
64499 445 29 110 545
64499 164 60 110 284
64666 163 36 110 2337
64666 163 64 110 284
64666 163 59 110 2337
64833 444 69 110 29
64833 163 36 110 2337
64833 163 60 110 284
64999 164 40 110 2337
64999 278 29 110 545
64999 164 59 110 2337
64999 164 59 110 284
65166 163 60 110 284
65166 163 36 110 2337
65333 163 40 110 2337
65333 163 72 110 29
65333 163 59 110 2337
65333 444 29 110 545
65333 163 57 110 284
